sample_id,cluster_label
0,0
1,1
2,1
3,2
4,3
5,3
6,2
7,2
8,2
9,0
10,4
11,3
12,0
13,4
14,0
15,3
16,2
17,4
18,4
19,1
20,3
21,4
22,2
23,1
24,2
25,1
26,2
27,0
28,4
29,4
30,4
31,0
32,4
33,0
34,0
35,3
36,1
37,0
38,1
39,2
40,4
41,1
42,0
43,3
44,4
45,4
46,3
47,3
48,1
49,2
50,0
51,-1
52,1
53,1
54,2
55,4
56,3
57,3
58,2
59,0
60,0
61,2
62,4
63,4
64,2
65,3
66,3
67,1
68,0
69,3
70,2
71,0
72,1
73,0
74,4
75,4
76,3
77,1
78,2
79,0
80,4
81,2
82,2
83,3
84,4
85,2
86,0
87,3
88,3
89,1
90,4
91,2
92,0
93,3
94,0
95,-1
96,4
97,3
98,1
99,0
100,3
101,-1
102,1
103,2
104,0
105,3
106,-1
107,2
108,4
109,3
110,2
111,3
112,1
113,3
114,0
115,4
116,4
117,3
118,-1
119,4
120,4
121,4
122,2
123,0
124,1
125,1
126,2
127,4
128,-1
129,3
130,1
131,2
132,2
133,3
134,0
135,2
136,4
137,1
138,3
139,3
140,0
141,4
142,2
143,2
144,1
145,2
146,1
147,0
148,2
149,0
150,2
151,3
152,4
153,0
154,4
155,2
156,3
157,3
158,3
159,2
160,4
161,0
162,4
163,1
164,1
165,2
166,0
167,4
168,3
169,1
170,3
171,4
172,4
173,2
174,4
175,4
176,0
177,0
178,3
179,0
180,1
181,4
182,3
183,2
184,4
185,3
186,3
187,4
188,2
189,2
190,0
191,0
192,0
193,3
194,3
195,1
196,4
197,3
198,1
199,3
200,0
201,1
202,3
203,4
204,0
205,1
206,1
207,4
208,3
209,1
210,1
211,2
212,0
213,2
214,0
215,3
216,0
217,1
218,2
219,2
220,0
221,4
222,2
223,3
224,0
225,2
226,1
227,4
228,0
229,0
230,2
231,4
232,4
233,4
234,3
235,3
236,3
237,2
238,2
239,3
240,2
241,3
242,1
243,2
244,0
245,3
246,3
247,0
248,3
249,1
250,0
251,0
252,0
253,3
254,4
255,3
256,3
257,0
258,0
259,4
260,0
261,1
262,2
263,4
264,3
265,0
266,3
267,4
268,2
269,4
270,0
271,0
272,3
273,1
274,2
275,1
276,0
277,4
278,1
279,4
280,4
281,3
282,3
283,4
284,2
285,2
286,4
287,4
288,0
289,0
290,0
291,4
292,2
293,0
294,4
295,3
296,1
297,-1
298,3
299,3
300,3
301,3
302,4
303,2
304,4
305,1
306,2
307,2
308,4
309,2
310,3
311,3
312,2
313,3
314,3
315,0
316,1
317,1
318,4
319,1
320,0
321,4
322,3
323,4
324,1
325,3
326,2
327,1
328,1
329,3
330,4
331,3
332,3
333,4
334,1
335,2
336,4
337,3
338,2
339,2
340,0
341,0
342,0
343,-1
344,4
345,1
346,0
347,0
348,1
349,0
350,4
351,2
352,2
353,4
354,2
355,-1
356,2
357,2
358,0
359,4
360,0
361,3
362,2
363,2
364,3
365,3
366,1
367,0
368,1
369,2
370,1
371,0
372,0
373,1
374,3
375,1
376,2
377,2
378,3
379,1
380,0
381,2
382,2
383,1
384,3
385,4
386,4
387,2
388,2
389,1
390,2
391,0
392,1
393,0
394,3
395,2
396,-1
397,3
398,1
399,4
400,3
401,2
402,1
403,3
404,1
405,-1
406,0
407,3
408,1
409,4
410,4
411,3
412,0
413,1
414,3
415,3
416,1
417,0
418,4
419,-1
420,3
421,1
422,1
423,4
424,3
425,0
426,3
427,2
428,0
429,4
430,4
431,0
432,2
433,1
434,1
435,1
436,2
437,3
438,4
439,0
440,0
441,2
442,1
443,2
444,1
445,4
446,4
447,3
448,0
449,3
450,4
451,0
452,3
453,1
454,0
455,0
456,-1
457,1
458,3
459,2
460,4
461,0
462,1
463,0
464,3
465,2
466,4
467,2
468,1
469,1
470,4
471,1
472,3
473,2
474,0
475,0
476,1
477,3
478,1
479,2
480,2
481,4
482,1
483,1
484,4
485,0
486,3
487,2
488,4
489,4
490,4
491,1
492,0
493,3
494,4
495,1
496,4
497,4
498,2
499,1
500,2
501,0
502,3
503,3
504,3
505,3
506,2
507,3
508,1
509,4
510,3
511,2
512,2
513,0
514,1
515,0
516,0
517,0
518,2
519,2
520,-1
521,3
522,4
523,0
524,0
525,1
526,3
527,4
528,4
529,3
530,1
531,2
532,1
533,1
534,2
535,4
536,2
537,2
538,2
539,1
540,3
541,1
542,1
543,1
544,4
545,0
546,4
547,4
548,1
549,2
550,0
551,3
552,-1
553,4
554,3
555,3
556,0
557,3
558,0
559,3
560,0
561,-1
562,1
563,4
564,2
565,-1
566,4
567,2
568,0
569,4
570,4
571,4
572,3
573,0
574,0
575,4
576,1
577,4
578,1
579,4
580,1
581,4
582,4
583,3
584,2
585,3
586,2
587,1
588,0
589,0
590,2
591,2
592,2
593,2
594,2
595,1
596,0
597,4
598,1
599,0
600,2
601,4
602,2
603,4
604,1
605,3
606,2
607,0
608,0
609,0
610,2
611,1
612,2
613,3
614,2
615,0
616,2
617,3
618,4
619,3
620,0
621,0
622,4
623,1
624,3
625,4
626,1
627,1
628,0
629,2
630,2
631,0
632,3
633,4
634,-1
635,1
636,4
637,2
638,1
639,2
640,4
641,4
642,4
643,2
644,3
645,1
646,1
647,4
648,4
649,3
650,3
651,2
652,4
653,3
654,2
655,4
656,2
657,3
658,0
659,1
660,0
661,0
662,1
663,4
664,2
665,4
666,1
667,4
668,2
669,4
670,2
671,0
672,-1
673,4
674,0
675,0
676,2
677,1
678,0
679,3
680,4
681,1
682,4
683,3
684,3
685,4
686,4
687,4
688,4
689,2
690,0
691,2
692,2
693,0
694,3
695,3
696,0
697,4
698,0
699,1
700,-1
701,4
702,4
703,1
704,3
705,0
706,1
707,1
708,2
709,1
710,2
711,4
712,3
713,2
714,3
715,4
716,4
717,0
718,2
719,4
720,2
721,0
722,2
723,3
724,4
725,3
726,3
727,1
728,2
729,2
730,4
731,4
732,3
733,3
734,0
735,1
736,3
737,3
738,3
739,2
740,0
741,0
742,-1
743,4
744,1
745,2
746,0
747,3
748,4
749,3
750,2
751,4
752,4
753,2
754,1
755,4
756,4
757,4
758,0
759,3
760,0
761,1
762,1
763,0
764,2
765,3
766,3
767,0
768,0
769,4
770,4
771,4
772,0
773,2
774,3
775,4
776,2
777,3
778,3
779,1
780,1
781,3
782,0
783,3
784,2
785,4
786,4
787,2
788,0
789,0
790,-1
791,2
792,0
793,4
794,2
795,0
796,4
797,1
798,3
799,4
800,2
801,0
802,3
803,2
804,2
805,3
806,4
807,2
808,3
809,2
810,3
811,1
812,0
813,0
814,3
815,2
816,1
817,2
818,3
819,3
820,2
821,4
822,0
823,4
824,1
825,2
826,3
827,0
828,0
829,4
830,3
831,4
832,2
833,1
834,4
835,1
836,3
837,0
838,1
839,2
840,4
841,4
842,4
843,0
844,1
845,0
846,2
847,3
848,1
849,3
850,2
851,3
852,3
853,2
854,3
855,1
856,2
857,3
858,0
859,0
860,-1
861,2
862,2
863,0
864,3
865,4
866,3
867,2
868,1
869,1
870,3
871,3
872,4
873,-1
874,1
875,1
876,0
877,2
878,3
879,2
880,4
881,0
882,1
883,4
884,2
885,0
886,2
887,0
888,1
889,2
890,2
891,0
892,4
893,4
894,2
895,3
896,4
897,4
898,4
899,3
900,2
901,4
902,0
903,2
904,2
905,1
906,4
907,2
908,2
909,4
910,4
911,0
912,3
913,2
914,3
915,2
916,0
917,0
918,4
919,1
920,2
921,1
922,4
923,0
924,4
925,2
926,3
927,2
928,2
929,0
930,0
931,1
932,4
933,2
934,0
935,0
936,0
937,0
938,-1
939,-1
940,4
941,3
942,1
943,2
944,4
945,1
946,2
947,0
948,1
949,3
950,0
951,0
952,4
953,4
954,4
955,2
956,0
957,1
958,1
959,0
960,2
961,4
962,4
963,4
964,2
965,2
966,0
967,0
968,0
969,0
970,3
971,4
972,1
973,4
974,0
975,4
976,2
977,2
978,0
979,1
980,0
981,2
982,1
983,3
984,1
985,3
986,1
987,3
988,3
989,2
990,2
991,0
992,2
993,2
994,4
995,0
996,4
997,2
998,2
999,0
1000,3
1001,2
1002,1
1003,1
1004,3
1005,3
1006,0
1007,2
1008,3
1009,1
1010,0
1011,2
1012,3
1013,3
1014,4
1015,3
1016,0
1017,3
1018,4
1019,0
1020,3
1021,4
1022,3
1023,0
1024,4
1025,1
1026,0
1027,2
1028,3
1029,1
1030,4
1031,4
1032,2
1033,2
1034,1
1035,4
1036,4
1037,3
1038,3
1039,1
1040,0
1041,0
1042,4
1043,2
1044,1
1045,0
1046,3
1047,2
1048,2
1049,3
1050,3
1051,4
1052,4
1053,0
1054,0
